company,sector,total_nodes,total_edges,data_nodes,actor_nodes,density,avg_degree,unique_relationships
Travelers_Companies_(The),Financial,38,44,30,8,0.03129,2.316,2
Trimble_Inc.,IT,41,41,30,11,0.025,2.0,2
UnitedHealth_Group,Healthcare,18,19,15,3,0.06209,2.111,2
Universal_Health_Services,Healthcare,29,28,24,5,0.03448,1.931,2
Verisign,IT,53,55,29,24,0.01996,2.075,2
Viatris,Healthcare,86,133,76,10,0.01819,3.093,2
Visa_Inc.,Financial,29,27,24,5,0.03325,1.862,2
W._R._Berkley_Corporation,Financial,43,46,36,7,0.02547,2.14,2
Waters_Corporation,Healthcare,51,61,37,14,0.02392,2.392,2
Wells_Fargo,Financial,4,3,3,1,0.25,1.5,2
West_Pharmaceutical_Services,Healthcare,18,18,14,4,0.05882,2.0,2
Western_Digital,IT,27,27,21,6,0.03846,2.0,2
Willis_Towers_Watson,Financial,93,118,82,11,0.01379,2.538,2
Zebra_Technologies,IT,47,43,40,7,0.01989,1.83,1
Zimmer_Biomet,Healthcare,45,43,29,16,0.02172,1.911,2
Zoetis,Healthcare,24,24,22,2,0.04348,2.0,2
